,bibimbap,bulgogi,doenjang-jjigae,donkkaseu,fried-egg,galbitang,gimbap,hamburger,japchae,jeyuk-bokkeum,jjajangmyeon,jjamppong,kalguksu,kimchi-jjigae,mul-naengmyeon,pizza,ramyeon,rice,samgyeopsal,sausage,spaghetti,sundubu-jjigae,tteokbokki
bibimbap,97,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bulgogi,0,89,0,0,0,2,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1
doenjang-jjigae,0,0,85,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,0,0,0,6,0
donkkaseu,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fried-egg,1,0,0,0,98,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
galbitang,0,1,0,0,0,95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
gimbap,0,0,0,0,0,0,95,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0
hamburger,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0
japchae,1,4,0,0,0,0,0,0,92,0,2,0,0,0,0,0,0,0,0,0,1,0,0
jeyuk-bokkeum,1,10,0,0,0,0,0,0,0,83,1,0,0,0,0,0,0,0,3,0,0,0,2
jjajangmyeon,1,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0
jjamppong,0,0,0,0,0,0,0,0,0,0,0,92,2,2,0,0,2,0,0,0,0,0,2
kalguksu,0,2,0,0,0,0,0,0,0,0,0,3,92,1,1,0,0,0,0,0,0,0,1
kimchi-jjigae,0,0,1,0,0,0,0,0,0,1,0,0,0,93,0,0,0,0,0,0,0,5,1
mul-naengmyeon,0,0,0,0,0,0,1,0,1,0,0,1,1,0,95,0,1,0,0,0,0,0,0
pizza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,3,0,1
ramyeon,0,0,1,0,0,0,0,0,0,0,0,5,4,2,1,1,85,0,0,0,1,0,0
rice,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,60,0,1,0,0,0
samgyeopsal,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,93,1,0,0,1
sausage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,1
spaghetti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
sundubu-jjigae,0,0,6,0,1,0,0,0,0,0,0,1,1,6,0,0,1,1,0,0,0,83,0
tteokbokki,0,1,0,0,0,0,1,0,0,0,0,3,1,1,0,0,2,0,0,0,0,2,89
